id,in,out,start,end,duration,text
0,2762,2840,22,100,2880,"I am Teodula Pusma Carrion,"
1,2762,2819,103,160,2880,I live in the village of Nangali.
2,2766,2846,175,255,2880,"One of my children was malnourished, "
3,2758,2835,255,332,2880,"so I went to the medical centre to get food,"
4,2823,2880,332,389,2880,I went to ask them for food 
5,2782,2816,389,423,2880,"then the nurses,"
6,2808,2877,423,492,2880,"the nurses from Nangali's medical centre, "
7,2806,2831,492,517,2880,said to me:
8,2766,2877,517,628,2880,'We will give you the food but only if you go and get yourself sterilised.
9,2798,2856,628,686,2880,If you don't we won't give you any food 
10,2820,2880,686,746,2880,"because you all have too many children,"
11,2822,2862,746,786,2880,"you're like rabbits, "
12,2831,2880,786,835,2880,and don't want to be sterilised. 
13,2831,2874,835,878,2880," I went to Huancabamba, "
14,2781,2875,878,972,2880,"And I got to the hospital and I was the last one there, "
15,2818,2880,972,1034,2880,"I got there a bit late, "
16,2779,2880,1034,1135,2880,"On one side there was a man who was getting a vasectomy,"
17,2779,2818,1135,1174,2880,he was from Huambanaca.
18,2799,2880,1174,1255,2880,and he was already naked. 
19,2814,2878,1255,1319,2880,They said: 'Come in. Are you here to be sterilised?'
20,2821,2841,1319,1339,2880, 'Yes.' 
21,2815,2871,1339,1395,2880,They took off my clothes 
22,2783,2880,1395,1492,2880,"and I felt embarrassed with the man there, because he was naked,"
23,2776,2825,1492,1541,2880,and I didn't want to do it anymore. 
24,2819,2875,1541,1597,2880,"'Come on, hurry up!', they said, "
25,2817,2855,1597,1635,2880,They put me on the bed 
26,2829,2880,1635,1686,2880,and four of them held me down. 
27,2803,2865,1686,1748,2880,"Two held my arms down and two held my legs, "
28,2798,2833,1748,1783,2880,"so they could give me the injection, "
29,2800,2830,1783,1813,2880,and I don't remember any more.  
30,2830,2880,31,81,2880,"I wanted to throw up, "
31,2825,2864,81,120,2880,"I had a headache,"
32,2831,2880,120,169,2880,I didn't know what was happening to me.
33,2785,2880,169,264,2880,I realised I'd been sterilised. 
34,2813,2863,264,314,2880,"My tummy hurt, I felt my tummy "
35,2831,2880,314,363,2880,but I couldn't get any words out. 
36,2792,2830,363,401,2880,"I wondered, 'What have I done? "
37,2830,2879,401,450,2880,Am I in prison? Am I in hospital?'
38,2790,2821,450,481,2880,"I couldn't remember, "
39,2798,2845,481,528,2880,after a while I remembered 
40,2845,2874,528,557,2880,and I wanted to throw up
41,2790,2852,557,619,2880,"and a nurse came and said, 'What's wrong with you? "
42,2817,2880,619,682,2880,Don't make a mess in that bed'. 
43,2813,2850,682,719,2880,I felt awful. 
44,2847,2874,719,746,2880,I was screaming 
45,2810,2880,746,816,2880,and every now and then they came and held our faces 
46,2787,2880,816,909,2880,"and said 'shut up, just shut up!'. "
47,2788,2858,909,979,2880,The next day at 6am 
48,2785,2843,979,1037,2880,"everyone was crying, "
49,2822,2880,1037,1095,2880,"women crying here and women crying there, "
50,2806,2852,1095,1141,2880,so many of them crying. 
51,2803,2880,1141,1218,2880,"I had already realised that they'd been sterilised, "
52,2806,2862,1218,1274,2880,that's why they were crying. 
53,2801,2863,1274,1336,2880,A bit later the doctor came  
54,2804,2835,1336,1367,2880,and gave us an injection.
55,2820,2867,1367,1414,2880,"He didn't ask what was wrong with us, "
56,2824,2864,1414,1454,2880,he just gave us the injection and said 
57,2807,2877,1454,1524,2880,'you're discharged and you have to go home.' 
58,2803,2877,1524,1598,2880,"So I went out of the hospital with my tummy, "
59,2778,2875,1598,1695,2880,"all of the women went out, not just me, all of us holding onto our tummies. "
60,2800,2857,1695,1752,2880,"There was no transport arranged for us, "
61,2835,2880,1752,1797,2880,we all had to make our own way home …
62,2841,2880,1797,1836,2880,"There was no ambulance, nothing. "
63,1311,1390,26,105,2880,"Things aren't good now with my husband, "
64,1385,1419,105,139,2880,we just fight all the time.
65,1428,1497,139,208,2880,"I can't help him with any of the work in the fields, "
66,1492,1574,208,290,2880,I can't help him use anything heavy.  
67,1490,1602,290,402,2880,I don't want to be intimate with him anymore. 
68,1490,1560,402,472,2880,"I get dark patches in front of my eyes, "
69,1560,1628,472,540,2880,I want to throw up. 
70,1560,1598,540,578,2880,"I get dizzy,"
71,1598,1661,578,641,2880,my whole body hurts. 
72,1661,1705,641,685,2880,"I just can't do it,"
73,1660,1736,685,761,2880,I'm not that old yet but I can't do it anymore. 
74,1649,1725,761,837,2880,"I live on my own with my husband, we have fight after fight "
75,1725,1808,837,920,2880,"because when I was well, before I was sterilised, I helped him to do things,"
76,1725,1771,920,966,2880,"And now I can't do anything, "
77,1774,1828,966,1020,2880,I should have had my children instead
78,1828,1876,1020,1068,2880,"and then I'd be like a rabbit,"
79,1876,1914,1068,1106,2880,"like they said, "
80,1864,1920,1106,1162,2880,but I'd have my children 
81,1920,1978,1162,1220,2880,and I wouldn't be here on my own suffering. 
82,1928,1961,1220,1253,2880,"They tricked us,"
83,1961,2026,1253,1318,2880,"they told us they'd help us with medicines,"
84,1961,2041,1318,1398,2880,that we shouldn't feel bad because they would support us …
85,2041,2095,1398,1452,2880,"And now nothing, they've forgotten about us, "
86,2095,2137,1452,1494,2880,It's all been forgotten …
87,2095,2155,1494,1554,2880,"Now we are sick, "
88,2147,2199,1554,1606,2880,"all the women who were sterilised, "
89,2199,2227,1606,1634,2880,"all of us,"
90,2227,2292,1634,1699,2880,"but well, it has already been done."
91,2234,2296,1699,1761,2880,And that's all I wanted to say. 
92,2232,2345,1790,1903,2880,"And thanks for all of this, many thanks, thankyou very much.   "
